customer_id,recency_days,tenure_days,frequency,monetary_total,avg_order_value,total_items,distinct_products,active_months,recent_revenue_90d,future_revenue
12346,233,633,12,77556.46,6463.04,74285,27,5,0.0,0.0
12347,37,312,6,4114.18,685.7,2418,107,6,584.91,1519.14
12348,156,346,4,1709.4,427.35,2497,25,4,0.0,310.0
12349,315,497,3,2671.14,890.38,993,90,3,0.0,1757.55
12350,218,218,1,334.4,334.4,197,17,1,0.0,0.0
12351,283,283,1,300.93,300.93,261,21,1,0.0,0.0
12352,170,300,7,1905.61,272.23,442,38,3,0.0,944.23
12353,112,316,2,406.76,203.38,212,23,2,0.0,0.0
12354,140,140,1,1079.4,1079.4,530,58,1,0.0,0.0
12355,122,475,2,947.61,473.81,543,35,2,0.0,0.0
12356,153,332,5,6315.33,1263.07,3412,104,4,0.0,58.35
12357,296,296,2,12079.99,6039.99,3879,165,1,0.0,6207.67
12358,58,639,4,3203.87,800.97,931,56,4,484.86,683.2
12359,97,642,9,6059.09,673.23,2095,230,7,0.0,2876.85
12360,20,563,7,3209.11,458.44,1968,123,6,534.7,1043.78
12361,195,590,4,511.25,127.81,235,18,4,0.0,0.0
12362,28,646,5,1877.35,375.47,989,89,5,773.01,3478.88
12363,17,150,2,552.0,276.0,408,23,2,252.9,0.0
12364,20,20,1,623.92,623.92,555,34,1,623.92,689.18
12365,199,199,2,641.38,320.69,174,22,1,0.0,0.0
12366,541,541,1,500.24,500.24,296,3,1,0.0,0.0
12368,536,536,1,917.7,917.7,330,18,1,0.0,0.0
12369,321,549,3,1791.15,597.05,1241,90,3,0.0,0.0
12370,182,576,6,3581.03,596.84,2225,150,4,0.0,739.28
12371,317,553,3,2179.42,726.47,845,91,2,0.0,1887.96
12372,120,204,2,914.92,457.46,592,32,2,0.0,383.12
12373,219,581,3,1127.65,375.88,516,36,3,0.0,0.0
12374,329,496,3,2246.29,748.76,1020,47,2,0.0,742.93
12375,6,6,1,230.3,230.3,87,11,1,230.3,227.2
12376,297,325,2,503.15,251.57,240,11,2,0.0,0.0
12377,223,497,4,3426.32,856.58,2105,129,4,0.0,0.0
12378,37,470,2,5416.32,2708.16,3316,281,2,4008.62,0.0
12379,78,442,3,1227.82,409.27,619,50,3,459.84,392.4
12380,93,570,8,7559.04,944.88,2521,125,5,0.0,2117.26
12381,27,27,1,1268.74,1268.74,568,62,1,1268.74,576.57
12383,92,260,5,1850.56,370.11,1532,84,5,0.0,0.0
12384,29,29,1,292.69,292.69,62,14,1,292.69,292.58
12385,287,287,1,1938.4,1938.4,612,65,1,0.0,0.0
12386,245,274,2,660.8,330.4,568,10,2,0.0,0.0
12387,323,323,1,143.94,143.94,134,9,1,0.0,0.0
12388,56,490,6,2788.79,464.8,1299,77,6,902.09,1112.32
12389,310,563,3,1433.33,477.78,614,41,3,0.0,0.0
12391,372,570,5,2312.53,462.51,920,159,3,0.0,460.89
12392,499,499,1,234.75,234.75,73,7,1,0.0,0.0
12393,153,336,5,1877.95,375.59,1017,53,4,0.0,521.5
12394,125,125,1,381.08,381.08,182,21,1,0.0,891.4
12395,20,510,11,3948.21,358.93,3244,122,9,329.85,1119.06
12396,582,582,1,931.43,931.43,591,65,1,0.0,0.0
12397,43,43,1,1214.81,1214.81,704,70,1,1214.81,1195.09
12399,27,552,7,1962.3,280.33,2198,67,7,209.62,0.0
12400,322,322,1,205.25,205.25,91,11,1,0.0,0.0
12401,211,211,1,84.3,84.3,11,5,1,0.0,0.0
12402,231,578,6,1256.9,209.48,584,43,6,0.0,0.0
12403,429,429,1,591.66,591.66,164,4,1,0.0,427.7
12404,590,590,1,63.24,63.24,1,1,1,0.0,0.0
12405,56,56,1,1710.39,1710.39,857,54,1,1710.39,0.0
12406,91,605,4,4596.31,1149.08,2391,81,4,0.0,1794.05
12407,42,172,4,1407.36,351.84,1237,50,3,911.4,300.76
12408,6,406,7,3586.27,512.32,1864,90,6,1296.46,754.5
12409,90,473,5,18553.7,3710.74,10734,165,5,0.0,4865.59
12410,216,410,3,1013.71,337.9,341,36,2,0.0,0.0
12411,317,317,1,346.9,346.9,138,22,1,0.0,0.0
12412,45,447,5,2260.79,452.16,1767,74,5,890.74,336.14
12413,144,310,3,805.25,268.42,238,37,3,0.0,194.2
12414,125,371,6,952.41,158.73,495,21,4,0.0,0.0
12415,7,435,22,121631.72,5528.71,80774,438,13,51203.98,22826.65
12416,564,564,1,202.56,202.56,132,11,1,0.0,0.0
12417,14,641,18,5984.33,332.46,2567,252,14,918.25,832.58
12418,20,538,4,2021.2,505.3,1088,90,4,668.58,0.0
12419,293,321,2,503.01,251.5,231,23,2,0.0,0.0
12421,22,413,5,920.12,184.02,575,38,5,471.11,178.48
12422,3,629,17,5231.8,307.75,2596,137,11,565.06,0.0
12423,8,373,9,2413.75,268.19,1590,119,9,198.98,208.64
12424,70,456,4,3340.03,835.01,2025,78,3,1760.96,0.0
12425,356,356,1,964.21,964.21,651,55,1,0.0,777.2
12426,102,570,2,1345.21,672.61,584,73,2,0.0,0.0
12427,279,279,1,607.0,607.0,158,10,1,0.0,522.3
12428,28,191,8,7548.12,943.51,3386,252,4,1237.58,408.34
